ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-10-04,9721.676562993884,-4489.738999974203,9908.44532939633,9721.676562993884,9721.676562993884,-7226.204218966148,-7226.204218966148,-7226.204218966148,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.361680912975357,-15.361680912975357,-15.361680912975357,-4146.625245103484,-4146.625245103484,-4146.625245103484,0.0,0.0,0.0,2495.4723440277357
2018-10-05,9713.0740912412,-3996.6402748802325,9970.925262883226,9713.0740912412,9713.0740912412,-7140.724638905967,-7140.724638905967,-7140.724638905967,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.273602211902261,-12.273602211902261,-12.273602211902261,-4064.233743744378,-4064.233743744378,-4064.233743744378,0.0,0.0,0.0,2572.349452335233
2018-10-06,9704.471619488519,-4606.50245881894,9850.525137785233,9704.471619488519,9704.471619488519,-7057.60053742263,-7057.60053742263,-7057.60053742263,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.01495812385426,-18.01495812385426,-18.01495812385426,-3975.3682863490885,-3975.3682863490885,-3975.3682863490885,0.0,0.0,0.0,2646.871082065889
2018-10-07,9695.869147735835,-4291.423625501543,9744.278589556961,9695.869147735835,9695.869147735835,-6978.354031789779,-6978.354031789779,-6978.354031789779,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.108327303291375,-34.108327303291375,-34.108327303291375,-3880.0284115368,-3880.0284115368,-3880.0284115368,0.0,0.0,0.0,2717.5151159460565
2018-10-08,9687.26667598315,-3798.7406205073053,10252.113826327828,9687.26667598315,9687.26667598315,-6813.330911736303,-6813.330911736303,-6813.330911736303,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.131018962903244,29.131018962903244,29.131018962903244,-3778.2446377495194,-3778.2446377495194,-3778.2446377495194,0.0,0.0,0.0,2873.9357642468467
2018-10-09,9678.664204230468,-4826.494010851501,10152.05245047268,9678.664204230468,9678.664204230468,-6760.5262346177615,-6760.5262346177615,-6760.5262346177615,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.220557932946676,-26.220557932946676,-26.220557932946676,-3670.0883837351275,-3670.0883837351275,-3670.0883837351275,0.0,0.0,0.0,2918.137969612707
2018-10-10,9670.061732477785,-3759.7048537310657,10416.203362977312,9670.061732477785,9670.061732477785,-6543.050476164387,-6543.050476164387,-6543.050476164387,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752236048,76.84810752236048,76.84810752236048,-3555.6812907370604,-3555.6812907370604,-3555.6812907370604,0.0,0.0,0.0,3127.011256313398
2018-10-11,9661.459260725102,-4212.442098897692,10725.310606361016,9661.459260725102,9661.459260725102,-6514.782499996481,-6514.782499996481,-6514.782499996481,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.361680913179034,-15.361680913179034,-15.361680913179034,-3435.2035261336146,-3435.2035261336146,-3435.2035261336146,0.0,0.0,0.0,3146.67676072862
2018-10-12,9652.856788972416,-3541.5132337395926,10231.261638874175,9652.856788972416,9652.856788972416,-6385.39157368067,-6385.39157368067,-6385.39157368067,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.273602211983723,-12.273602211983723,-12.273602211983723,-3308.9006785189995,-3308.9006785189995,-3308.9006785189995,0.0,0.0,0.0,3267.465215291746
2018-10-13,9644.254317219737,-3457.021673665195,10606.406258088846,9644.254317219737,9644.254317219737,-6259.321149957975,-6259.321149957975,-6259.321149957975,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.01495812407505,-18.01495812407505,-18.01495812407505,-3177.088898884212,-3177.088898884212,-3177.088898884212,0.0,0.0,0.0,3384.933167261762
