ds,yhat,yhat_lower,yhat_upper
2022-06-16,26813.7895677092,18417.279695769666,34890.36903655735
2022-06-17,26490.42145181152,18177.896391402537,34185.94001264993
2022-06-18,26161.659302236483,18532.202867073465,34167.57863558481
2022-06-19,25784.302925058946,17889.93398860652,34373.30160630867
2022-06-20,25548.080160938785,17733.534728104954,33827.07232339878
2022-06-21,25153.822066766694,17495.109135814724,32716.079209156847
2022-06-22,24996.35988045508,17146.34238081715,32656.902350134747
2022-06-23,24566.370065503677,16454.987682587016,32842.958912730384
2022-06-24,24293.311225393794,16062.729001820708,31752.928360140093
2022-06-25,24035.394560730452,16073.483089351283,32762.64921965316
2022-06-26,23748.803030949653,15972.57301860099,31691.22847583698
2022-06-27,23622.183343429802,15646.31548609335,31487.69611055358
2022-06-28,23354.844024847785,15359.645832125347,31453.436198282732
2022-06-29,23339.68634027146,14826.06077674916,31485.649198721254
2022-06-30,23065.093424973027,15497.762760543257,31558.03608615032
2022-07-01,22957.920226482078,15445.708055365505,30920.69481589797
2022-07-02,22873.524510810512,14531.60066555617,30740.100102088625
2022-07-03,22765.052489480797,15076.047040270405,30680.950855990068
2022-07-04,22818.001443802917,14730.0242753509,31296.138082435355
2022-07-05,22728.49076188248,14258.514604683387,31095.529885245676
2022-07-06,22913.466248613273,15359.456452272922,31747.253898397343
2022-07-07,22831.061317097767,14755.659968814705,30335.88040058788
2022-07-08,22905.255610080727,14934.99456274769,30841.774318007465
2022-07-09,22988.769830773592,14817.242356406628,30899.551315587396
2022-07-10,23032.40866512599,14684.298126028109,31274.12190550113
2022-07-11,23219.67282844783,15843.599942197276,31744.679084031515
2022-07-12,23245.07050972082,15485.003314213518,31812.268602927394
2022-07-13,23497.152207257957,15801.406427288306,31188.32483030392
2022-07-14,23460.491829645398,15183.75357182184,31492.959732907384
2022-07-15,23558.754511846837,14894.54166633735,31073.27352826717
2022-07-16,23644.78964865688,15324.223073892568,31681.56668719012
2022-07-17,23669.961387221734,14978.966507238369,31688.396535960797
2022-07-18,23818.7381055601,15905.31194367359,32361.75678666615
2022-07-19,23786.971923983925,16157.297942965122,31911.781264823145
2022-07-20,23964.893247495165,15804.102141343848,32504.98780812114
2022-07-21,23839.0444171858,15676.783739667519,31865.710921291407
2022-07-22,23835.294288166908,16012.150688200116,32200.849820847787
2022-07-23,23808.87372736921,15567.522490790781,31515.775240290644
2022-07-24,23713.645845006118,16005.372356513151,31748.8152929908
2022-07-25,23736.634095442307,15138.573795585353,31234.33539346133
2022-07-26,23576.240895646555,15732.337198779696,32182.256730549525
2022-07-27,23625.18330984916,15646.180732574563,31732.0777165277
2022-07-28,23372.37133719097,15078.287758020217,31540.142111979618
2022-07-29,23245.87194933036,14982.627515061515,31311.275372601198
2022-07-30,23102.900038154214,14995.559952936095,31647.76534947737
2022-07-31,22899.05106356768,14919.153878732488,30887.979781206675
2022-08-01,22822.799300467388,15027.0863775129,30340.77323730609
2022-08-02,22573.694867983373,14831.146037398048,30259.141042665316
2022-08-03,22545.28638698326,14501.399505300176,30301.58788737203
2022-08-04,22226.994860433653,14550.880228213851,30453.71914882699
2022-08-05,22047.081746370168,14156.44120746035,30483.53907512548
2022-08-06,21862.651982609787,13389.648386783294,29400.999672673865
2022-08-07,21628.90614545995,13799.456854024771,29373.149820119546
2022-08-08,21533.66484983138,13163.06043526821,29712.26648818179
2022-08-09,21275.59762524846,13298.204338306728,29191.346856345146
2022-08-10,21247.182039469393,12819.970625438718,28962.85264224098
2022-08-11,20936.617498021184,12715.285767016436,28491.451281758145
2022-08-12,20770.835466730376,12944.178877317505,28807.79433115611
2022-08-13,20605.545633554488,12720.268462895383,28710.34617421634
2022-08-14,20394.530964863177,12498.26660262257,27845.255776282625
2022-08-15,20324.21358655548,12134.616382292546,28364.947804890453
2022-08-16,20091.922629709497,12181.086087048745,28378.717541938237
2022-08-17,20088.888828568248,12617.375878687026,27826.95477948644
2022-08-18,19802.18945092406,12121.185946670332,28085.58535575872
2022-08-19,19657.78461545172,11535.799906762564,27337.11685530592
2022-08-20,19510.58399037723,11769.233050524668,27427.502685753436
2022-08-21,19313.756486778606,11170.992111040348,27412.63106921059
2022-08-22,19253.304719001288,11437.263743966865,27891.54188101774
2022-08-23,19026.335396192462,11002.55587419035,27013.418183018963
2022-08-24,19024.05063219316,11056.74501125496,27018.866809193776
2022-08-25,18733.684116325436,10641.44942473932,26682.074756652342
2022-08-26,18581.52370850051,10885.138151260982,26749.191128623483
2022-08-27,18422.96008776271,10657.65459497383,26227.60305580432
2022-08-28,18211.774804495566,9428.171358714442,26553.974793521156
2022-08-29,18134.690321786533,10462.20318096564,25729.183087133
2022-08-30,17889.614071509674,9669.051332266501,25661.874986346702
2022-08-31,17868.602394324902,10117.98057899913,25818.32317128954
2022-09-01,17559.769180516618,9769.022411944157,25135.961612164512
2022-09-02,17390.281615227897,9163.863558373785,25168.231758677302
2022-09-03,17216.383438205296,8833.347162504537,25213.22060534687
2022-09-04,16992.659768004545,8624.279078383817,25654.06789737566
2022-09-05,16906.56667572409,8788.462649407038,24702.235030993666
2022-09-06,16656.658018207047,9077.476894884463,24687.770066145193
2022-09-07,16635.53575811509,8420.952290862893,24435.937377321865
2022-09-08,16331.748813420525,8033.490794189707,24184.86155057212
2022-09-09,16172.782934571656,8207.860718800932,24482.983657328205
2022-09-10,16015.081959631005,7764.769109491656,23895.501039514776
2022-09-11,15813.314367863773,7190.953083813039,23298.924799372857
2022-09-12,15754.90799800299,7317.1752003419815,23173.95411765234
2022-09-13,15538.285077253791,7206.662338104134,23864.85728208233
